english	translation	category	sub_category	source
Destroy	销毁	inventoryActions	item	Dwarf remains
Drop	丢弃	inventoryActions	item	Steel cannonball
Read	阅读	inventoryActions	item	Nulodion's notes
Set-up	设置	inventoryActions	item	Cannon base
Blow	吹	inventoryActions	item	Magic whistle
Ring	摇动	inventoryActions	item	Grail bell
Blow-on	吹凉	inventoryActions	item	Magic gold feather
Extinguish	熄灭	inventoryActions	item	Lit black candle
Wield	装备	inventoryActions	item	Excalibur
Wear	穿戴	inventoryActions	item	Khazard helmet
Empty	清空	inventoryActions	item	Guam potion (unf)
Drink	喝	inventoryActions	item	Strength potion(4)
Clean	清洗	inventoryActions	item	Grimy guam leaf
Eat	吃	inventoryActions	item	Jangerberries
Equip	装备	inventoryActions	item	Cattleprod
Plant	种植	inventoryActions	item	Mithril seeds
Open	打开	inventoryActions	item	Casket
Throw	投掷	inventoryActions	item	Bird feed
Bury	埋葬	inventoryActions	item	Bones
Inspect	检查	inventoryActions	item	Ghost's skull
Bail-with	舀水	inventoryActions	item	Bailing bucket
Activate	激活	inventoryActions	item	Locating crystal
Search	搜索	inventoryActions	item	Panning tray
Polish	擦拭	inventoryActions	item	Buttons
Look-at	查看	inventoryActions	item	Level 1 certificate
Complete	完成	inventoryActions	item	Radimus notes
Swing	摆动	inventoryActions	item	Bullroarer
Look	看	inventoryActions	item	Sketch
Enchant-Vials	附魔瓶子	inventoryActions	item	Binding book
Investigate	调查	inventoryActions	item	Dark dagger
Cast Spell	施放法术	inventoryActions	item	Holy force
Hold	拿着	inventoryActions	item	Gnomeball
Dig	挖掘	inventoryActions	item	Spade
Blackout	熄灭	inventoryActions	item	Disk of returning
Check	检查	inventoryActions	item	Iban's staff
Locate	定位	inventoryActions	item	Air talisman
Rub-together	摩擦	inventoryActions	item	Dry sticks
Study	研究	inventoryActions	item	Map part
Rub	摩擦	inventoryActions	item	Amulet of glory
Edgeville	传送至边陲镇	inventoryActions	item	Amulet of glory(1)
Karamja	传送至卡拉姆詹岛	inventoryActions	item	Amulet of glory(1)
Draynor Village	传送至德雷诺村	inventoryActions	item	Amulet of glory(1)
Al Kharid	传送至阿尔卡里德城	inventoryActions	item	Amulet of glory(1)
Tan Leather	鞣皮	inventoryActions	item	Leather
Empty Bowl	倒掉	inventoryActions	item	Burnt stew
Mix-cocktail	调制鸡尾酒	inventoryActions	item	Cocktail shaker
Remove-legs	卸下腿甲	inventoryActions	item	Swamp toad
Prepare	准备	inventoryActions	item	Half baked bowl
Empty Tray	清空托盘	inventoryActions	item	Burnt crunchies
Empty Tin	清空罐子	inventoryActions	item	Burnt batta
Empty Dish	清空菜盘 / 碗	inventoryActions	item	Burnt pie
Guzzle	大口吞食	inventoryActions	item	Rock cake
Play-with	玩耍	inventoryActions	item	Brown toy horsey
Recharge Dragonstone	充能龙石	inventoryActions	item	Dead orb
Break	损毁	inventoryActions	item	Ring of recoil
Emir's Arena	传送至埃米尔竞技场	inventoryActions	item	Ring of dueling(8)
Castle Wars	传送至城堡战争	inventoryActions	item	Ring of dueling(8)
Ferox Enclave	传送至费罗飞地	inventoryActions	item	Ring of dueling(8)
Fortis Colosseum	传送至福蒂斯竞技场	inventoryActions	item	Ring of dueling(8)
Toggle-respawn	切换重生点	inventoryActions	item	Ring of life
Features	功能设定	inventoryActions	item	Ring of wealth
Look through	翻找 / 查阅	inventoryActions	item	Sextant
Check steps	查看进度	inventoryActions	item	Clue scroll (easy)
Release All	全部释放	inventoryActions	item	Bloated toad
Release	释放	inventoryActions	item	Bloated toad
Check kills	查看击杀数	inventoryActions	item	Ogre bow
Fill	填充 / 装满	inventoryActions	item	Druid pouch
Cast Bloom	施法催生	inventoryActions	item	Silver sickle (b)
Bloom	催生	inventoryActions	item	Silver sickle (b)
Cast	施放	inventoryActions	item	Druidic spell
Debug	调试	inventoryActions	item	Boss helper tool
Play	播放 / 玩	inventoryActions	item	Lyre
Rellekka	传送至雷勒卡城	inventoryActions	item	Enchanted lyre(1)
Waterbirth Island	传送至水诞岛	inventoryActions	item	Enchanted lyre(1)
Neitiznot	传送至奈提兹诺镇	inventoryActions	item	Enchanted lyre(1)
Jatiszo	传送至加提兹索岛	inventoryActions	item	Enchanted lyre(1)
Interact	互动	inventoryActions	item	Pet rock
Shake	摇晃	inventoryActions	item	Vase
Remove-lid	取下盖子	inventoryActions	item	Sealed vase
Preach	布道	inventoryActions	item	Holy book
Burthorpe	传送至伯索普公国	inventoryActions	item	Games necklace(8)
Barbarian Outpost	传送至野蛮人前哨站	inventoryActions	item	Games necklace(8)
Corporeal Beast	传送至实体巨兽	inventoryActions	item	Games necklace(8)
Tears of Guthix	传送至古斯之泪游戏	inventoryActions	item	Games necklace(8)
Wintertodt Camp	传送至寒冬营地	inventoryActions	item	Games necklace(8)
View	查看	inventoryActions	item	Spare controls
Listen	聆听	inventoryActions	item	Monkey dentures
Poke	戳	inventoryActions	item	Monkey
Surrender	投降	inventoryActions	item	Saradomin cloak
Heal	治疗	inventoryActions	item	Bandages
Loop	播放循环	inventoryActions	item	Yo-yo
Walk	行走	inventoryActions	item	Yo-yo
Crazy	发疯	inventoryActions	item	Yo-yo
Ride	骑乘	inventoryActions	item	Sled
Partner	结伴	inventoryActions	item	Enchanted gem
Log	记录	inventoryActions	item	Enchanted gem
Repair	修理	inventoryActions	item	Model ship
Follow	跟随	inventoryActions	item	Treasure map
Count	计数	inventoryActions	item	Petition form
Check-keys	查看钥匙	inventoryActions	item	Steel key ring
Fling	抛掷	inventoryActions	item	Easter basket
Dance	跳舞	inventoryActions	item	Rubber chicken
Assemble	组装	inventoryActions	item	Base schematics
Spin	旋转	inventoryActions	item	Spinning plate
Remove-one	移除一个	inventoryActions	item	Apples(2)
Build	建造	inventoryActions	item	Rogue kit
Slice	切片	inventoryActions	item	Rotten potato
Peel	剥皮	inventoryActions	item	Rotten potato
Mash	捣碎	inventoryActions	item	Rotten potato
Lletya	传送至莱蒂亚村	inventoryActions	item	Teleport crystal (4)
Prifddinas	传送至普里夫迪纳斯城	inventoryActions	item	Teleport crystal (4)
Toggle	切换传送点	inventoryActions	item	Teleport crystal (4)
Uncharge	解除充能	inventoryActions	item	Broodoo shield (10)
Scan	扫描	inventoryActions	item	Commorb
Contact	联络	inventoryActions	item	Commorb
Playback	播放纪录	inventoryActions	item	Commorb
Talk-At	交谈	inventoryActions	item	Fishbowl
Play-With	玩耍	inventoryActions	item	Fishbowl
Feed	喂食	inventoryActions	item	Fishbowl
Untangle	解开	inventoryActions	item	Fishbowl and net
Check-charge	查看剩余充能	inventoryActions	item	Camulet
Teleport	传送	inventoryActions	item	Camulet
Display	展示	inventoryActions	item	Zombie head
Question	询问	inventoryActions	item	Zombie head
Chant	吟唱	inventoryActions	item	Demonic sigil
Feel	触摸 / 感应	inventoryActions	item	Enchanted key
Remove-rat	取下老鼠	inventoryActions	item	Rat pole
Geomancy	施放地卜术	inventoryActions	item	Watering can
Jump	跳跃	inventoryActions	item	Blue marionette
Bow	鞠躬	inventoryActions	item	Blue marionette
Talk-to	对话	inventoryActions	item	Progress hat
Return	归还 / 返回	inventoryActions	item	Prison key
Smell	闻	inventoryActions	item	Spicy stew
Release-all	全部释放	inventoryActions	item	Balloon toad
Wind	上发条	inventoryActions	item	Toy soldier
Separate	拆分	inventoryActions	item	Kbd heads
Unstuff	取出填充物	inventoryActions	item	Stuffed crawling hand
Varrock	传送至维洛克城	inventoryActions	item	Varrock teleport
Grand Exchange	传送至大交易所	inventoryActions	item	Varrock teleport
Camelot	传送至卡美洛城堡	inventoryActions	item	Camelot teleport
Seers' Village	传送至先知村	inventoryActions	item	Camelot teleport
Watchtower	传送至瞭望塔	inventoryActions	item	Watchtower teleport
Yanille	传送至亚尼勒城	inventoryActions	item	Watchtower teleport
Inside	传送至房屋内	inventoryActions	item	Teleport to house
Outside	传送至房屋外	inventoryActions	item	Teleport to house
Group	群体传送	inventoryActions	item	Teleport to house
Info	详情	inventoryActions	item	Enchant sapphire or opal
Dust-hands	拍灰	inventoryActions	item	Ground ashes
Talk-To	对话	inventoryActions	item	Monkey
Invoke	发动传送	inventoryActions	item	Skull sceptre
Divine	占卜 / 获取启示	inventoryActions	item	Skull sceptre
Convert	转换	inventoryActions	item	Pharaoh's sceptre
Launch	发射	inventoryActions	item	Grand seed pod
Squash	压碎	inventoryActions	item	Grand seed pod
Pour	倾倒	inventoryActions	item	Mixed blizzard
Add-ingreds	添加材料	inventoryActions	item	Mixed saturday
Unpack	打开包装	inventoryActions	item	Proselyte harness m
Shape-Earth	制作空白的大地符石	inventoryActions	item	Page 1
Shape-Air	制作空白的风符石	inventoryActions	item	Page 1
Shape-Fire	制作空白的火焰符石	inventoryActions	item	Page 2
Shape-Water	制作空白的水符石	inventoryActions	item	Page 2
Shape-Mind	制作空白的心灵符石	inventoryActions	item	Page 3
Boost	提升 / 强化	inventoryActions	item	Attack cape
Warriors' Guild	传送至战士公会	inventoryActions	item	Strength cape
Toggle Effect	切换效果	inventoryActions	item	Defence cape
Toggle Respawn	切换重生点	inventoryActions	item	Defence cape
Commune	交流	inventoryActions	item	Ranging cape
Spellbook	切换法术书	inventoryActions	item	Magic cape
Lunar	切换至月之法术书	inventoryActions	item	Magic cape
Arceuus	切换至阿西乌斯法术书	inventoryActions	item	Magic cape
Standard	切换至标准法术书	inventoryActions	item	Magic cape
Ancient	切换至古代法术书	inventoryActions	item	Magic cape
Stamina Boost	恢复耐力	inventoryActions	item	Agility cape
Tele to POH	传送至玩家房屋	inventoryActions	item	Construct. cape
Brimhaven	传送至布尔哈文镇	inventoryActions	item	Construct. cape
Home	传送至房屋	inventoryActions	item	Construct. cape
Rimmington	传送至里明顿村	inventoryActions	item	Construct. cape
Taverley	传送至塔韦利村	inventoryActions	item	Construct. cape
Pollnivneach	传送至波尼尼镇	inventoryActions	item	Construct. cape
Hosidius	传送至霍西迪乌斯城	inventoryActions	item	Construct. cape
Aldarin	传送至阿尔达林岛	inventoryActions	item	Construct. cape
Fishing Guild	传送至钓鱼公会	inventoryActions	item	Fishing cape
Otto's Grotto	传送至奥托的洞穴	inventoryActions	item	Fishing cape
Trim	修剪	inventoryActions	item	Quest point cape
Load	装填	inventoryActions	item	White destabiliser
Split	拆分 / 切开	inventoryActions	item	Cap and goggles
Hunter Guild	传送至猎人公会	inventoryActions	item	Hunter cape
Carnivorous Chinchompas	传送至食肉炸弹鼠群落	inventoryActions	item	Hunter cape
Black Chinchompas	传送至黑色炸弹鼠群落	inventoryActions	item	Hunter cape
Lay	放置	inventoryActions	item	Bird snare
Check totals	检查总量	inventoryActions	item	Butterfly net
Check Totals	检查总量	inventoryActions	item	Butterfly net
Bank	存入银行	inventoryActions	item	Imp-in-a-box(2)
Translate	翻译	inventoryActions	item	Research notes
Prance	蹦跳	inventoryActions	item	Reindeer hat
Write-Role	选取角色	inventoryActions	item	Scroll
Clear	清除	inventoryActions	item	Scroll
Tell-red	告知 - 红色	inventoryActions	item	Attacker horn
Tell-green	告知 - 绿色	inventoryActions	item	Attacker horn
Tell-blue	告知 - 蓝色	inventoryActions	item	Attacker horn
Medic	治疗	inventoryActions	item	Attacker horn
Look-in	查看内部	inventoryActions	item	Collection bag
Tell-tofu	告知 - 豆腐	inventoryActions	item	Healer horn
Tell-crackers	告知 - 饼干	inventoryActions	item	Healer horn
Tell-worms	告知 - 蠕虫	inventoryActions	item	Healer horn
Tell-meat	告知 - 肉	inventoryActions	item	Defender horn
Tell-controlled	告知 - 控制	inventoryActions	item	Collector horn
Tell-accurate	告知 - 准确	inventoryActions	item	Collector horn
Tell-aggressive	告知 - 攻击	inventoryActions	item	Collector horn
Tell-defensive	告知 - 防御	inventoryActions	item	Collector horn
Check tax	查看税收	inventoryActions	item	Empty tax bag
Check taxes	查看税收	inventoryActions	item	Bulging taxbag
Pray-over	祈祷	inventoryActions	item	Blessed lamp
Recite-prayer	吟诵祈祷	inventoryActions	item	Prayer book
Operate	操作	inventoryActions	item	Beacon ring
Farming Guild	传送至农业公会	inventoryActions	item	Skills necklace(4)
Mining Guild	传送至采矿公会	inventoryActions	item	Skills necklace(4)
Crafting Guild	传送至制作公会	inventoryActions	item	Skills necklace(4)
Cooking Guild	传送至厨师公会	inventoryActions	item	Skills necklace(4)
Woodcutting Guild	传送至伐木公会	inventoryActions	item	Skills necklace(4)
Champions' Guild	传送至冠军公会	inventoryActions	item	Combat bracelet(4)
Monastery	传送至埃奇维尔修道院	inventoryActions	item	Combat bracelet(4)
Ranging Guild	传送至射手公会	inventoryActions	item	Combat bracelet(4)
Gem Mine	传送至宝石矿场	inventoryActions	item	Karamja gloves 3
Fossil Island	传送至化石岛	inventoryActions	item	Digsite pendant (1)
Lithkren Dungeon	传送至利斯克伦地牢	inventoryActions	item	Digsite pendant (1)
Digsite	传送至考古挖掘场	inventoryActions	item	Digsite pendant (1)
Loot	搜刮 / 领取 / 转移战利品	inventoryActions	item	Baby impling jar
Impling-jar	生成小精灵罐	inventoryActions	item	Jar generator
Butterfly-jar	生成蝴蝶罐	inventoryActions	item	Jar generator
Toggle-view	切换视图	inventoryActions	item	Impling scroll
Copy to log	复制到日志	inventoryActions	item	Ancient page
Discard	丢弃	inventoryActions	item	Anti-dragon shield (nz)
Take-one	拿取一个	inventoryActions	item	Herb box
Bank-all	全部存入	inventoryActions	item	Herb box
Refund	退回	inventoryActions	item	Scroll of redirection
Revert	还原	inventoryActions	item	Rimmington teleport
Dismantle	拆解	inventoryActions	item	Armadyl godsword
Disassemble	拆解	inventoryActions	item	Slayer helmet
Fremennik Dungeon	传送至费明尼克地牢	inventoryActions	item	Slayer ring (8)
Dark Beasts	传送至暗黑兽群落	inventoryActions	item	Slayer ring (8)
Master	传送至杀戮大师	inventoryActions	item	Slayer ring (8)
Stronghold	传送至杀戮者要塞地牢	inventoryActions	item	Slayer ring (8)
Slayer Tower	传送至杀戮者之塔	inventoryActions	item	Slayer ring (8)
Tarn's Lair	传送至塔恩的巢穴	inventoryActions	item	Slayer ring (8)
Deposit	存放	inventoryActions	item	Looting bag
Settings	设置	inventoryActions	item	Looting bag
Miscellania	传送至米斯凯尼亚国	inventoryActions	item	Ring of wealth (5)
Falador	传送至法拉多城	inventoryActions	item	Ring of wealth (5)
Dondakan	传送至东达坎	inventoryActions	item	Ring of wealth (5)
Boss Log	查看Boss击杀纪录	inventoryActions	item	Ring of wealth (5)
Coin Collection	切换金币自动拾取状态	inventoryActions	item	Ring of wealth (5)
Tip	轻触	inventoryActions	item	Fedora
Spawn Item	生成物品	inventoryActions	item	Holiday tool
Basic Reanimation	施放基础复活术	inventoryActions	item	Easter
Dissolve	溶解	inventoryActions	item	Abyssal tentacle
Check completion	查看完成度	inventoryActions	item	Challenge scroll (elite)
Check rank	查看排名	inventoryActions	item	Druidic wreath
Check Rank	查看排名	inventoryActions	item	Druidic wreath
Configure	配置	inventoryActions	item	Annakarl teleport
Extract	提取	inventoryActions	item	Nest box (empty)
Unload	卸载	inventoryActions	item	Toxic blowpipe
Untrim	拆除饰边	inventoryActions	item	Quest point cape (t)
Karamja (Shilo)	传送至卡拉姆詹岛的希洛村	inventoryActions	item	Achievement diary cape (t)
Western Provinces	传送至西部省份	inventoryActions	item	Achievement diary cape (t)
Karamja (Jungle)	传送至卡拉姆詹岛的丛林	inventoryActions	item	Achievement diary cape (t)
Twiggy O'Korn	传送至特威吉‧奥科恩	inventoryActions	item	Achievement diary cape (t)
Karamja (Mor Ul Rek)	传送至卡拉姆詹岛的特扎尔地下城	inventoryActions	item	Achievement diary cape (t)
Ardougne	传送至阿多尼城	inventoryActions	item	Achievement diary cape (t)
Desert	传送至沙漠	inventoryActions	item	Achievement diary cape (t)
Kourend & Kebos	传送至库兰德王国与凯博斯	inventoryActions	item	Achievement diary cape (t)
Lumbridge & Draynor	传送至仑桥镇与德雷诺村	inventoryActions	item	Achievement diary cape (t)
Fremennik	传送至费明尼克群岛	inventoryActions	item	Achievement diary cape (t)
Morytania	传送至莫利塔尼亚	inventoryActions	item	Achievement diary cape (t)
Kandarin	传送至坎达林王国	inventoryActions	item	Achievement diary cape (t)
Wilderness	传送至荒野	inventoryActions	item	Achievement diary cape (t)
Slayer Master	传送至杀戮大师	inventoryActions	item	Karamja gloves 4
Ecto Teleport	传送至灵泉	inventoryActions	item	Morytania legs 1
Ectofuntus Pit	传送至灵泉坑	inventoryActions	item	Morytania legs 1
Burgh Teleport	传送至伯格德罗特镇	inventoryActions	item	Morytania legs 3
Burgh de Rott	传送至伯格德罗特镇	inventoryActions	item	Morytania legs 3
Activity	切换自动碎骨设定	inventoryActions	item	Bonecrusher
Recharge-prayer	恢复祈祷值	inventoryActions	item	Falador shield 1
Recharge Prayer	恢复祈祷值	inventoryActions	item	Falador shield 1
Monastery Teleport	传送至修道院	inventoryActions	item	Ardougne cloak 1
Kandarin Monastery	传送至坎达林修道院	inventoryActions	item	Ardougne cloak 1
Farm Teleport	传送至农场	inventoryActions	item	Ardougne cloak 2
Ardougne Farm	传送至阿多尼农场	inventoryActions	item	Ardougne cloak 2
Energy	恢复跑步值	inventoryActions	item	Explorer's ring 1
Alchemy	施放低级炼金术	inventoryActions	item	Explorer's ring 1
Functions	功能设定	inventoryActions	item	Explorer's ring 2
Nardah	传送至那尔达城	inventoryActions	item	Desert amulet 4
Kalphite cave	传送至卡尔夫特虫洞穴	inventoryActions	item	Desert amulet 4
Emote	表情动作	inventoryActions	item	Diango's claws
Redeem	兑换	inventoryActions	item	Old school bond
Restore	恢复	inventoryActions	item	Tanzanite helm (uncharged)
Scramble	搅拌 / 爬行	inventoryActions	item	Rotten egg
Poach	水煮 / 偷猎	inventoryActions	item	Rotten egg
Fry	煎 / 炸	inventoryActions	item	Rotten egg
Pickle	腌制	inventoryActions	item	Rotten egg
Consume	消耗	inventoryActions	item	Saradomin's light
Teleports	传送	inventoryActions	item	Max cape
Metamorphosis	变形	inventoryActions	item	Beaver
Chew	咀嚼	inventoryActions	item	Rotten onion
